Month,DayofMonth,DayOfWeek,FlightDate,AirlineID,Carrier,FlightNum,Origin,Dest,CRSDepTime,DepTime,DepDelay,DepDelayMinutes,DepDel15,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,ArrTime,ArrDelay,ArrDelayMinutes,ArrDel15,Cancelled,Diverted,ActualElapsedTime,AirTime,Distance,departure,arrival,origin_airport_code,departureDelay,lon_origin,lat_origin,dest_airport_code,arrivalDelay,lon_dest,lat_dest,Year,id
1,13,7,2008-01-13,19805,AA,1790,DFW,STL,1615,1736,81.00,81.00,1,22.00,1758,1914,5.00,1755,1919,84.00,84.00,1,0,0,103.00,76.00,551.00,1,1,DFW,9.302793,-97.04,32.90,STL,5.989472,-90.36,38.75,2008,1376817655
1,4,5,2008-01-04,19805,AA,1336,DFW,STL,705,700,-5.00,0.00,0,13.00,713,831,4.00,845,835,-10.00,0.00,0,0,0,95.00,78.00,551.00,1,1,DFW,9.302793,-97.04,32.90,STL,5.989472,-90.36,38.75,2008,33222402
1,11,5,2008-01-11,19805,AA,1336,DFW,STL,705,703,-2.00,0.00,0,17.00,720,836,4.00,845,840,-5.00,0.00,0,0,0,97.00,76.00,551.00,1,1,DFW,9.302793,-97.04,32.90,STL,5.989472,-90.36,38.75,2008,987024881
1,15,2,2008-01-15,19805,AA,1085,DFW,STL,1910,1906,-4.00,0.00,0,10.00,1916,2025,4.00,2045,2029,-16.00,0.00,0,0,0,83.00,69.00,551.00,1,1,DFW,9.302793,-97.04,32.90,STL,5.989472,-90.36,38.75,2008,729524078
1,5,6,2008-01-05,19805,AA,1030,DFW,STL,945,941,-4.00,0.00,0,9.00,950,1106,2.00,1120,1108,-12.00,0.00,0,0,0,87.00,76.00,551.00,1,1,DFW,9.302793,-97.04,32.90,STL,5.989472,-90.36,38.75,2008,998744910
1,17,4,2008-01-17,19805,AA,2228,DFW,STL,1800,1759,-1.00,0.00,0,15.00,1814,1918,3.00,1935,1921,-14.00,0.00,0,0,0,82.00,64.00,551.00,1,1,DFW,9.302793,-97.04,32.90,STL,5.989472,-90.36,38.75,2008,-1324454759
1,10,4,2008-01-10,19805,AA,1085,DFW,STL,1910,1905,-5.00,0.00,0,11.00,1916,2034,4.00,2045,2038,-7.00,0.00,0,0,0,93.00,78.00,551.00,1,1,DFW,9.302793,-97.04,32.90,STL,5.989472,-90.36,38.75,2008,342291065
1,8,2,2008-01-08,19805,AA,1085,DFW,STL,1910,1907,-3.00,0.00,0,11.00,1918,2034,3.00,2045,2037,-8.00,0.00,0,0,0,90.00,76.00,551.00,1,1,DFW,9.302793,-97.04,32.90,STL,5.989472,-90.36,38.75,2008,2069621489
1,19,6,2008-01-19,19805,AA,1030,DFW,STL,945,943,-2.00,0.00,0,10.00,953,1104,2.00,1120,1106,-14.00,0.00,0,0,0,83.00,71.00,551.00,1,1,DFW,9.302793,-97.04,32.90,STL,5.989472,-90.36,38.75,2008,-2056115210
1,26,6,2008-01-26,19805,AA,2228,DFW,STL,1800,1757,-3.00,0.00,0,13.00,1810,1917,3.00,1935,1920,-15.00,0.00,0,0,0,83.00,67.00,551.00,1,1,DFW,9.302793,-97.04,32.90,STL,5.989472,-90.36,38.75,2008,-1108488631
5,19,1,2008-05-19,19805,AA,456,MIA,LAX,1930,1925,-5.00,0.00,0,21.00,1946,2142,6.00,2205,2148,-17.00,0.00,0,0,0,323.00,296.00,2342.00,1,1,MIA,9.350676,-80.29,25.79,LAX,6.927546,-118.41,33.94,2008,-1013920864
4,28,1,2008-04-28,20437,FL,41,ATL,LAX,2130,2145,15.00,15.00,1,44.00,2229,2356,10.00,2330,6,36.00,36.00,1,0,0,321.00,267.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-1462784858
4,21,1,2008-04-21,19790,DL,75,ATL,LAX,1705,1701,-4.00,0.00,0,20.00,1721,1845,11.00,1857,1856,-1.00,0.00,0,0,0,295.00,264.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,1841050441
9,6,6,2008-09-06,19386,NW,609,JFK,MSP,1750,2033,163.00,163.00,1,37.00,2110,2237,4.00,2026,2241,135.00,135.00,1,0,0,188.00,147.00,1028.00,1,1,JFK,11.421935,-73.78,40.64,MSP,4.555891,-93.22,44.89,2008,-381642431
4,21,1,2008-04-21,20437,FL,50,ATL,LAX,2020,2017,-3.00,0.00,0,36.00,2053,2222,6.00,2220,2228,8.00,8.00,0,0,0,311.00,269.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,935929524
4,22,2,2008-04-22,19790,DL,115,ATL,LAX,1845,1843,-2.00,0.00,0,30.00,1913,2106,7.00,2037,2113,36.00,36.00,1,0,0,330.00,293.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,1863383015
5,5,1,2008-05-05,19805,AA,299,MIA,LAX,815,815,0.00,0.00,0,26.00,841,1049,6.00,1055,1055,0.00,0.00,0,0,0,340.00,308.00,2342.00,1,1,MIA,9.350676,-80.29,25.79,LAX,6.927546,-118.41,33.94,2008,461610408
4,20,7,2008-04-20,19790,DL,875,ATL,LAX,2010,2011,1.00,1.00,0,21.00,2032,2202,28.00,2209,2230,21.00,21.00,1,0,0,319.00,270.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-359573945
4,29,2,2008-04-29,19790,DL,1423,ATL,LAX,2130,2138,8.00,8.00,0,35.00,2213,2332,14.00,2326,2346,20.00,20.00,1,0,0,308.00,259.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,93876435
4,10,4,2008-04-10,19790,DL,1423,ATL,LAX,2130,2127,-3.00,0.00,0,32.00,2159,2337,10.00,2326,2347,21.00,21.00,1,0,0,320.00,278.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-896126450
5,5,1,2008-05-05,19805,AA,972,MIA,LAX,2105,2104,-1.00,0.00,0,15.00,2119,2320,8.00,2345,2328,-17.00,0.00,0,0,0,324.00,301.00,2342.00,1,1,MIA,9.350676,-80.29,25.79,LAX,6.927546,-118.41,33.94,2008,866537853
4,14,1,2008-04-14,19790,DL,115,ATL,LAX,1845,1850,5.00,5.00,0,13.00,1903,2008,8.00,2037,2016,-21.00,0.00,0,0,0,266.00,245.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-556786316
9,27,6,2008-09-27,19386,NW,369,JFK,MSP,1122,1116,-6.00,0.00,0,23.00,1139,1258,4.00,1328,1302,-26.00,0.00,0,0,0,166.00,139.00,1028.00,1,1,JFK,11.421935,-73.78,40.64,MSP,4.555891,-93.22,44.89,2008,-2128600623
4,11,5,2008-04-11,19790,DL,943,ATL,LAX,1330,1335,5.00,5.00,0,13.00,1348,1517,8.00,1512,1525,13.00,13.00,0,0,0,290.00,269.00,1946.00,1,1,ATL,10.634748,-84.43,33.64,LAX,6.927546,-118.41,33.94,2008,-987437141
